#Pb+Pb collisions at 5.02 TeV, 0-30%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.257E+00	1.358E+00	1.515E+00
0.2	0.25	0.3	5.372E-01	5.876E-01	6.631E-01
0.3	0.35	0.4	2.040E-01	2.350E-01	2.687E-01
0.4	0.5	0.6	6.534E-02	7.190E-02	8.025E-02
0.6	0.7	0.8	1.694E-02	1.913E-02	2.136E-02
0.8	0.9	1	5.357E-03	6.343E-03	7.366E-03

#30-50%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	1.869E+00	2.079E+00	2.240E+00
0.2	0.25	0.3	8.422E-01	9.057E-01	9.693E-01
0.3	0.35	0.4	3.374E-01	3.970E-01	4.251E-01
0.4	0.5	0.6	1.105E-01	1.207E-01	1.330E-01
0.6	0.7	0.8	2.763E-02	3.207E-02	3.533E-02
0.8	0.9	1	8.244E-03	9.745E-03	1.135E-02

#50-90%;
#zt_low	zt	zt_high	DAA_min	DAA_median	DAA_max
0.15	0.175	0.2	2.435E+00	2.499E+00	2.694E+00
0.2	0.25	0.3	1.073E+00	1.126E+00	1.193E+00
0.3	0.35	0.4	4.483E-01	5.080E-01	5.351E-01
0.4	0.5	0.6	1.468E-01	1.657E-01	1.696E-01
0.6	0.7	0.8	3.940E-02	4.407E-02	4.529E-02
0.8	0.9	1	1.315E-02	1.376E-02	1.510E-02
