#Pb+Pb collisions at 5.02 TeV, 0-10%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.3685 	0.4075 	0.4513 
0.2	0.25	0.3	0.3316 	0.3797 	0.4335 
0.3	0.35	0.4	0.2864 	0.3030 	0.3793 
0.4	0.5	0.6	0.2719 	0.3035 	0.3457 
0.6	0.7	0.8	0.2888 	0.3185 	0.3363 
0.8	0.9	1	0.2521 	0.3005 	0.3562 

#10-20%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.4572 	0.4927 	0.5679 
0.2	0.25	0.3	0.4267 	0.4502 	0.5253 
0.3	0.35	0.4	0.3710 	0.4077 	0.4503 
0.4	0.5	0.6	0.3642 	0.3993 	0.4344 
0.6	0.7	0.8	0.3294 	0.3929 	0.4513 
0.8	0.9	1	0.3142 	0.3865 	0.4429 

#20-30%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.5658 	0.5947 	0.6338 
0.2	0.25	0.3	0.5494 	0.5854 	0.6217 
0.3	0.35	0.4	0.4258 	0.5170 	0.5429 
0.4	0.5	0.6	0.4286 	0.4658 	0.5207 
0.6	0.7	0.8	0.4226 	0.4416 	0.4930 
0.8	0.9	1	0.3833 	0.4167 	0.4784 

#30-50%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.6587 	0.7329 	0.7895 
0.2	0.25	0.3	0.6483 	0.6973 	0.7462 
0.3	0.35	0.4	0.5633 	0.6628 	0.7098 
0.4	0.5	0.6	0.5754 	0.6284 	0.6924 
0.6	0.7	0.8	0.5354 	0.6213 	0.6846 
0.8	0.9	1	0.4619 	0.5460 	0.6360 

#50-70%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.8525 	0.8683 	0.9418 
0.2	0.25	0.3	0.8116 	0.8536 	0.9070 
0.3	0.35	0.4	0.7316 	0.8369 	0.8829 
0.4	0.5	0.6	0.7462 	0.8493 	0.8690 
0.6	0.7	0.8	0.7453 	0.8403 	0.8624 
0.8	0.9	1	0.7185 	0.7431 	0.8231 

#70-90%;
#zt_low	zt	zt_high	IAA_min	IAA_median	IAA_max
0.15	0.175	0.2	0.9212 	0.9700 	0.9727 
0.2	0.25	0.3	0.9334 	0.9594 	0.9956 
0.3	0.35	0.4	0.8873 	0.9303 	0.9682 
0.4	0.5	0.6	0.8999 	0.9558 	0.9812 
0.6	0.7	0.8	0.9004 	0.9498 	0.9819 
0.8	0.9	1	0.8767 	0.9463 	0.9697 
