# zt, dndzt, err_ratio
1.749999999999999889e-01 2.223871476117578627e+00 8.445906306213281367e-02
2.500000000000000000e-01 9.300000000000001599e-01 3.937003937005906229e-02
3.499999999999999778e-01 3.733333333333331838e-01 2.494438257849293517e-02
5.000000000000000000e-01 1.183333333333333459e-01 9.930312739844156592e-03
6.999999999999999556e-01 2.333333333333332399e-02 4.409585518440983440e-03
9.000000000000000222e-01 8.333333333333334952e-03 2.635231383473650435e-03
