# zt, dndzt, err_ratio
1.749999999999999889e-01 7.328690883313424553e-01 3.602547975344214809e-02
2.500000000000000000e-01 5.627881746677514396e-01 3.195184054870359863e-02
3.499999999999999778e-01 4.810049019607843812e-01 4.357719132199768669e-02
5.000000000000000000e-01 3.768453768453768338e-01 4.236834994680931110e-02
6.999999999999999556e-01 2.442528735632184256e-01 6.343253195931429500e-02
9.000000000000000222e-01 2.564102564102563875e-01 1.377143988537370689e-01
