# zt, dndzt, err_ratio
1.749999999999999889e-01 8.686997953584294496e-01 4.096367008096209877e-02
2.500000000000000000e-01 7.567127746135068334e-01 3.862782907398024101e-02
3.499999999999999778e-01 6.862745098039215730e-01 5.448224806139326942e-02
5.000000000000000000e-01 5.516705516705515677e-01 5.341030249549828107e-02
6.999999999999999556e-01 4.022988505747126520e-01 8.470753180008923355e-02
9.000000000000000222e-01 6.410256410256409687e-01 2.385283357484778155e-01
