# zt, dndzt, err_ratio
1.749999999999999889e-01 2.324579464512946281e+00 7.586537784494025438e-02
2.500000000000000000e-01 6.916666666666667629e-01 3.395258131243894528e-02
3.499999999999999778e-01 2.616666666666666030e-01 2.088327347690277155e-02
5.000000000000000000e-01 8.083333333333335424e-02 8.207381501496755286e-03
6.999999999999999556e-01 1.416666666666666248e-02 3.435921354681382989e-03
9.000000000000000222e-01 3.333333333333333981e-03 1.666666666666666990e-03
