# zt, dndzt, error
1.749999999999999889e-01 2.559999999999999165e+00 7.155417527999324845e-02
2.500000000000000000e-01 1.229000000000000314e+00 3.505709628591621718e-02
3.499999999999999778e-01 5.439999999999998170e-01 2.332380757938119428e-02
5.000000000000000000e-01 2.145000000000000517e-01 1.035615758860399145e-02
6.999999999999999556e-01 5.799999999999997519e-02 5.385164807134502039e-03
9.000000000000000222e-01 1.300000000000000287e-02 2.549509756796392631e-03
